shot_ID,shot,shot Location (m),date,Time (UTC),,,
,,,,JD,hh,mm,ss.sss
5001,1,0,2019-01-10,10,23,55,00.017
5002,2,0,2019-01-11,11,0,22,00.017
5003,3,0,2019-01-11,,0,37,00.017
5004,4,0,2019-01-11,,0,56,00.017
5005,5,0,2019-01-11,,1,53,00.017
5006,6,0,2019-01-11,,2,39,00.017
5007,7,0,2019-01-11,,2,51,00.017
5008,8,0,2019-01-11,,3,01,00.017
5009,9,0,2019-01-11,,3,21,00.017
5010,10,0,2019-01-11,,3,45,00.017
5011,11,0,2019-01-11,,3,58,00.017
5012,12,0,2019-01-11,,4,19,00.017
5013,13,0,2019-01-11,,4,40,00.017
5014,14,0,2019-01-11,,5,02,00.017
5015,15,0,2019-01-11,,5,17,00.017
5016,16,0,2019-01-11,,5,32,00.017
5017,17,0,2019-01-11,,5,46,00.017
5018,18,0,2019-01-11,,6,00,00.017
5019,19,0,2019-01-11,,6,15,00.017
5020,20,0,2019-01-11,,6,35,00.017
5021,21,0,2019-01-11,,6,52,00.017
5022,22,0,2019-01-11,,7,03,00.017
5023,23,0,2019-01-11,,7,25,00.017
5024,24,0,2019-01-11,,7,40,00.017
5025,25,0,2019-01-11,,8,02,00.017
5026,26,0,2019-01-11,,8,20,00.017
5027,27,sp2,2019-01-12,,0,24,00.017
5028,28,sp2,2019-01-12,,0,56,00.017
5029,29,sp2,2019-01-12,,1,09,00.017
5030,30,sp2,2019-01-12,,1,26,00.017
5031,31,sp2,2019-01-12,,3,27,00.017
5032,32,sp2,2019-01-12,,3,39,00.017
5033,33,sp2,2019-01-12,,3,53,00.017
5034,34,sp2,2019-01-12,,4,08,00.017
5035,35,sp2,2019-01-12,,4,24,00.017
5036,36,sp2,2019-01-12,,4,38,00.017
5037,37,sp2,2019-01-12,,4,57,00.017
5038,38,sp2,2019-01-12,,5,19,00.017
5039,39,sp2,2019-01-12,,5,30,00.017
5040,40,sp2,2019-01-12,,5,42,00.017
5041,41,sp2,2019-01-12,,5,55,00.017
5042,42,SP3,2019-01-13,,0,31,00.017
5043,43,SP3,2019-01-13,,0,52,00.017
5044,44,SP3,2019-01-13,,0,59,00.017
5045,45,SP3,2019-01-13,,1,06,00.017
5046,46,SP3,2019-01-13,,1,30,00.017
5047,47,SP3,2019-01-13,,2,09,00.017
5048,48,SP3,2019-01-13,,2,35,00.017
5049,49,SP3,2019-01-13,,2,52,00.017
5050,50,SP3,2019-01-13,,3,16,00.017
5091,SP3,,2019-01-13,,22,36,00.017
5090,,2675,2019-01-13,,22,46,00.017
5089,,2615,2019-01-13,,22,52,00.017
5088,,2555,2019-01-13,,22,58,00.017
5087,,2495,2019-01-13,,23,03,00.017
5086,,2435,2019-01-13,,23,08,00.017
5085,,2375,2019-01-13,,23,13,00.017
5084,,2315,2019-01-13,,23,19,00.017
5083,,2255,2019-01-13,,23,24,00.017
5082,,2195,2019-01-13,,23,29,00.017
5081,,2135,2019-01-13,,23,34,00.017
5080,,2075,2019-01-13,,23,39,00.017
5079,,2015,2019-01-13,,23,44,00.017
5078,,1955,2019-01-13,,23,49,00.017
5077,,1895,2019-01-13,,23,54,00.017
5076,,1835,2019-01-14,,0,04,00.017
5075,,1775,2019-01-14,,0,09,00.017
5074,,1715,2019-01-14,,0,14,00.017
5073,,1655,2019-01-14,,0,21,00.017
5072,,1595,2019-01-14,,0,56,00.017
5071,,1535,2019-01-14,,1,06,00.017
5070,,1475,2019-01-14,,1,16,00.017
5069,,1415,2019-01-14,,1,21,00.017
5068,,1355,2019-01-14,,1,28,00.017
5067,,1295,2019-01-14,,1,35,00.017
5066,,1235,2019-01-14,,1,40,00.017
5065,,1175,2019-01-14,,1,45,00.017
5064,,1115,2019-01-14,,1,52,00.017
5063,,1055,2019-01-14,,1,58,00.017
5062,,995,2019-01-14,,2,04,00.017
5061,,935,2019-01-14,,2,09,00.017
5060,,875,2019-01-14,,2,14,00.017
5059,,815,2019-01-14,,2,18,00.017
5058,,755,2019-01-14,,2,23,00.017
5057,,695,2019-01-14,,2,27,00.017
5056,,635,2019-01-14,,2,32,00.017
5055,,575,2019-01-14,,2,36,00.017
5054,,515,2019-01-14,,2,41,00.017
5053,,0,2019-01-14,,3,33,00.017
5051,,???,2019-01-14,,6,01,00.017
5052,,???,2019-01-14,,7,48,00.017
